 Date,CCMP_EC Open,CCMP_EC Low,CCMP_EC High,CCMP_EC Close,CCMP_EC Adj. Close
7/18/2008,"2,286.92","2,269.55","2,293.18","2,282.78","2,282.78"
7/17/2008,"2,296.57","2,274.27","2,320.77","2,312.30","2,312.30"
7/16/2008,"2,219.27","2,205.71","2,284.85","2,284.85","2,284.85"
7/15/2008,"2,197.18","2,167.29","2,249.12","2,215.71","2,215.71"
7/14/2008,"2,262.86","2,207.00","2,266.44","2,212.87","2,212.87"
7/11/2008,"2,233.38","2,203.25","2,265.86","2,239.08","2,239.08"
7/10/2008,"2,239.95","2,223.04","2,267.67","2,257.85","2,257.85"
7/9/2008,"2,290.63","2,234.59","2,296.03","2,234.89","2,234.89"
7/8/2008,"2,244.90","2,233.99","2,294.44","2,294.44","2,294.44"
7/7/2008,"2,263.69","2,214.16","2,276.54","2,243.32","2,243.32"
7/3/2008,"2,261.74","2,227.80","2,262.96","2,245.38","2,245.38"
7/2/2008,"2,311.57","2,251.30","2,317.20","2,251.46","2,251.46"
7/1/2008,"2,274.24","2,255.79","2,306.91","2,304.97","2,304.97"
6/30/2008,"2,312.42","2,292.98","2,325.49","2,292.98","2,292.98"
6/27/2008,"2,319.62","2,290.59","2,329.94","2,315.63","2,315.63"
6/26/2008,"2,365.86","2,321.37","2,366.16","2,321.37","2,321.37"
6/25/2008,"2,376.82","2,376.29","2,421.25","2,401.26","2,401.26"
6/24/2008,"2,375.80","2,352.10","2,394.86","2,368.28","2,368.28"
6/23/2008,"2,416.55","2,384.56","2,419.69","2,385.74","2,385.74"
6/20/2008,"2,441.96","2,394.26","2,441.96","2,406.09","2,406.09"
6/19/2008,"2,427.17","2,412.37","2,469.15","2,462.06","2,462.06"
6/18/2008,"2,444.96","2,422.96","2,449.18","2,429.71","2,429.71"
6/17/2008,"2,481.20","2,456.78","2,483.19","2,457.73","2,457.73"
6/16/2008,"2,443.13","2,441.24","2,479.95","2,474.78","2,474.78"
6/13/2008,"2,423.05","2,417.01","2,454.50","2,454.50","2,454.50"
6/12/2008,"2,414.46","2,388.49","2,432.88","2,404.35","2,404.35"
6/11/2008,"2,444.94","2,394.01","2,446.28","2,394.01","2,394.01"
6/10/2008,"2,436.75","2,432.47","2,466.28","2,448.94","2,448.94"
6/9/2008,"2,483.22","2,429.30","2,485.00","2,459.46","2,459.46"
6/6/2008,"2,528.52","2,474.56","2,529.97","2,474.56","2,474.56"
6/5/2008,"2,509.49","2,504.57","2,549.94","2,549.94","2,549.94"
6/4/2008,"2,473.03","2,471.52","2,518.71","2,503.14","2,503.14"
6/3/2008,"2,500.50","2,460.56","2,513.89","2,480.48","2,480.48"
6/2/2008,"2,514.82","2,471.41","2,516.37","2,491.53","2,491.53"
5/30/2008,"2,519.14","2,510.65","2,530.16","2,522.66","2,522.66"
5/29/2008,"2,486.09","2,485.92","2,522.14","2,508.32","2,508.32"
5/28/2008,"2,491.50","2,465.59","2,493.38","2,486.70","2,486.70"
5/27/2008,"2,450.52","2,448.58","2,482.08","2,481.24","2,481.24"
5/23/2008,"2,454.14","2,430.36","2,456.00","2,444.67","2,444.67"
5/22/2008,"2,454.74","2,448.84","2,474.53","2,464.58","2,464.58"
5/21/2008,"2,497.39","2,444.99","2,508.90","2,448.27","2,448.27"
5/20/2008,"2,505.86","2,479.37","2,506.19","2,492.26","2,492.26"
5/19/2008,"2,530.82","2,505.60","2,551.47","2,516.09","2,516.09"
5/16/2008,"2,537.41","2,504.18","2,537.41","2,528.85","2,528.85"
5/15/2008,"2,496.44","2,492.95","2,535.19","2,533.73","2,533.73"
5/14/2008,"2,503.28","2,493.58","2,528.40","2,496.70","2,496.70"
5/13/2008,"2,491.02","2,472.58","2,498.07","2,495.12","2,495.12"
5/12/2008,"2,454.65","2,446.36","2,490.22","2,488.49","2,488.49"
