date,eur/usd,gbp/usd,usd/jpy,usd/chf,usd_index,wti_crude,nasdaq,cac_40,gold_usd,fed_rate,euro_libor,us_unemp,eu_unemp,us_retail,eu_retail,us_core_cpi,Year
2014-02-28,1.3669799999999999,1.6565649999999998,102.11549999999998,0.8934549999999999,80.43800000000002,100.76299999999999,4203.1175,4300.8375,1302.6345,0.25,0.2589999999999999,6.7,11.9,1.8,1.1,1.6,2014
2014-03-31,1.3825619047619049,1.6616190476190469,102.35761904761904,0.8806428571428572,79.87238095238095,100.50904761904764,4276.3590476190475,4338.051428571428,1334.8271428571427,0.25,0.2752380952380953,6.7,11.8,3.6,1.1,1.7,2014
2014-04-30,1.3810863636363635,1.6747681818181817,102.51181818181816,0.8830000000000001,79.85,102.14090909090906,4119.407727272725,4441.557272727273,1298.8681818181815,0.25,0.294090909090909,6.3,11.7,5.2,1.9,1.8,2014
2014-05-31,1.3732818181818178,1.6840500000000005,101.83545454545452,0.8888272727272727,79.96227272727273,101.9,4139.995909090909,4483.630454545454,1288.3195454545455,0.25,0.2972727272727273,6.3,11.7,4.9,0.5,2.0,2014
2014-06-30,1.360042857142857,1.6916999999999998,102.06619047619049,0.8955047619047618,80.44,105.14666666666666,4332.737619047619,4522.0085714285715,1282.5704761904765,0.25,0.21428571428571427,6.1,11.5,4.8,1.7,1.9,2014
2014-07-31,1.3537652173913042,1.7074826086956525,101.74956521739132,0.8976652173913043,80.53521739130433,102.44130434782608,4434.8826086956515,4362.04347826087,1311.8165217391306,0.25,0.17391304347826084,6.2,11.6,4.2,0.2,1.9,2014
2014-08-31,1.3314190476190475,1.6698380952380951,102.97857142857141,0.9099857142857142,81.85666666666667,96.07619047619049,4464.830952380953,4249.599047619047,1295.6957142857145,0.25,0.15571428571428567,6.2,11.5,5.3,1.6,1.7,2014
2014-09-30,1.2894863636363636,1.6305545454545454,107.3868181818182,0.9366681818181818,84.36454545454545,93.02727272727272,4553.703181818182,4425.323636363637,1237.9627272727273,0.25,0.06545454545454549,5.9,11.5,5.1,0.7,1.7,2014
2014-10-31,1.268204347826087,1.6075739130434783,108.01826086956522,0.9525347826086954,85.67999999999998,84.33913043478259,4403.229999999999,4129.8095652173915,1223.1047826086956,0.25,0.057391304347826126,5.7,11.5,4.9,1.4,1.8,2014
2014-11-30,1.247455,1.5773149999999998,116.404,0.96402,87.72249999999998,75.32700000000001,4692.899,4261.010999999999,1177.0929999999996,0.25,0.057000000000000016,5.8,11.5,4.8,1.2,1.7,2014
2014-12-31,1.2306739130434785,1.5630086956521738,119.43695652173916,0.9771608695652176,89.19173913043478,59.09130434782608,4735.925217391305,4267.040869565218,1198.5956521739129,0.25,0.060000000000000026,5.6,11.3,3.7,2.4,1.6,2014
2015-01-31,1.1629636363636366,1.5159681818181816,118.32909090909088,0.9424045454545454,92.815,47.52681818181818,4675.258636363637,4380.055909090909,1251.4913636363638,0.25,0.040000000000000015,5.7,11.3,4.1,2.8,1.6,2015
2015-02-28,1.135405,1.53347,118.78200000000001,0.93614,94.4535,50.865,4856.507000000001,4768.503999999999,1226.9979999999996,0.25,0.02650000000000001,5.5,11.2,2.3,3.1,1.7,2015
2015-03-31,1.08285,1.4969136363636366,120.36636363636366,0.9796136363636364,97.89727272727274,47.85409090909091,4938.011363636364,5000.727727272729,1179.5531818181814,0.25,0.01954545454545455,5.5,11.2,3.0,1.9,1.8,2015
2015-04-30,1.0817499999999998,1.4961272727272728,119.51909090909092,0.9601227272727274,97.52045454545454,54.51499999999999,4982.832272727272,5171.378636363635,1200.060909090909,0.25,0.0018181818181818184,5.4,11.1,1.9,2.6,1.8,2015
2015-05-31,1.1157142857142854,1.5455761904761909,120.84095238095236,0.9324809523809524,95.23809523809523,59.30809523809525,5029.589047619047,5059.3419047619045,1199.0514285714287,0.25,-0.013333333333333334,5.5,11.1,2.7,3.4,1.7,2015
2015-06-30,1.123518181818182,1.5586727272727274,123.6818181818182,0.9309272727272728,95.16863636363634,59.82863636363638,5073.042272727274,4927.926363636365,1182.450909090909,0.25,-0.01090909090909091,5.3,11.0,2.7,3.3,1.8,2015
2015-07-31,1.0998434782608701,1.555852173913043,123.32391304347826,0.954526086956522,96.92521739130434,50.99956521739129,5078.859130434783,4956.229565217393,1130.7360869565214,0.25,-0.014347826086956525,5.2,10.8,3.2,4.3,1.8,2015
