date,eur/usd,gbp/usd,usd/jpy,usd/chf,usd_index,wti_crude,snp_500,dow_jones,nasdaq,euro_n100,cac_40,dax,gold_usd,brent_crude,fed_rate,euro_libor,us_unemp,eu_unemp,us_retail,eu_retail,us_indus,eu_indus,us_core_cpi,eu_core_cpi,us_cpi,eu_cpi
2008-11-30,1.2722500000000003,1.52902,96.8055,1.1924499999999998,86.3915,57.29050000000001,883.7005000000001,8620.157,1542.3394999999998,558.8745000000001,3287.209,4691.9925,760.6570000000002,54.746,1.0,4.2325,6.8,8.0,-10.4,-1.6,-8.8,-8.8,2.0,1.9,1.1,2.1
2008-12-31,1.353595652173913,1.4858043478260867,91.10347826086957,1.1365869565217392,82.97347826086958,41.853913043478265,877.3547826086955,8590.035652173914,1526.079565217391,538.2973913043479,3186.8260869565224,4667.862608695653,825.7417391304347,42.848695652173916,0.2826086956521739,3.265652173913043,7.3,8.3,-11.3,-1.5,-11.5,-12.3,1.8,1.9,0.1,1.6
2009-01-31,1.3287727272727272,1.4491454545454547,90.36454545454545,1.1252545454545455,83.96409090909091,41.979545454545445,865.8422727272726,8408.256363636365,1537.14,535.9413636363636,3111.043636363637,4554.118181818182,862.7790909090909,45.76227272727272,0.25,2.4718181818181817,7.8,8.7,-10.2,-2.3,-13.4,-16.3,1.7,1.6,0.0,1.1
2009-02-28,1.280485,1.44163,92.84450000000001,1.16323,86.53999999999999,39.04200000000001,804.4245,7698.492,1485.2110000000002,504.80499999999995,2911.544000000001,4265.0075,941.716,43.87349999999999,0.25,1.9435000000000002,8.3,9.0,-9.8,-4.6,-13.6,-18.4,1.8,1.7,0.2,1.2
2009-03-31,1.3073454545454544,1.419859090909091,97.73636363636363,1.1538954545454545,86.41136363636363,48.061818181818175,757.1268181818184,7235.466363636364,1432.233181818182,465.735,2725.318636363636,3969.1509090909076,926.9554545454546,47.41727272727273,0.25,1.6340909090909088,8.7,9.3,-11.5,-3.1,-14.8,-19.3,1.8,1.5,-0.4,0.6
2009-04-30,1.3207000000000002,1.472777272727273,98.92636363636366,1.1471681818181818,85.25545454545455,49.9540909090909,848.6327272727272,7996.2695454545465,1641.7004545454545,511.6986363636363,3006.57,4516.5931818181825,890.7772727272728,51.46318181818182,0.25,1.421363636363636,9.0,9.5,-11.1,-2.4,-14.8,-21.4,1.9,1.8,-0.7,0.6
2009-05-31,1.3672285714285715,1.546009523809524,96.50761904761904,1.1058333333333332,82.0347619047619,59.36666666666666,902.7857142857143,8392.604285714286,1727.237142857143,555.9276190476191,3243.720476190476,4880.795238095238,930.3999999999999,58.5852380952381,0.25,1.283809523809524,9.4,9.6,-11.1,-3.6,-15.2,-17.2,1.8,1.5,-1.3,0.0
2009-06-30,1.4013590909090912,1.637868181818182,96.66772727272728,1.0809227272727273,80.11590909090908,69.69545454545457,926.1149999999999,8592.998636363634,1826.9881818181818,555.0295454545455,3242.8536363636363,4930.824545454545,945.5899999999998,69.27090909090909,0.25,1.2254545454545456,9.5,9.7,-9.7,-2.7,-15.3,-16.8,1.7,1.4,-1.4,-0.1
2009-07-31,1.4086,1.6386478260869566,94.45565217391304,1.0785521739130433,79.52652173913043,64.28260869565216,934.2082608695652,8662.397826086957,1870.0795652173917,552.5021739130434,3211.9800000000005,4949.607391304348,935.0682608695654,65.75086956521739,0.25,0.9543478260869565,9.5,9.8,-9.2,-1.9,-13.9,-15.8,1.5,1.3,-2.1,-0.7
2009-08-31,1.4265714285714284,1.6533333333333329,94.9161904761905,1.0678523809523808,78.44809523809525,71.13857142857142,1009.7247619047617,9375.061904761906,1997.1552380952382,608.5085714285714,3539.879523809524,5395.204285714286,949.7342857142856,73.05714285714286,0.25,0.8276190476190477,9.6,9.9,-6.9,-2.7,-11.6,-14.9,1.4,1.3,-1.5,-0.2
