 Date,DAX_EC Open,DAX_EC Low,DAX_EC High,DAX_EC Close,DAX_EC Adj. Close,DAX_EC SMA (200D),DAX_EC SMA (50D)
4/23/2019,"12,224.32","12,182.98","12,251.81","12,235.51","12,235.51","11,686.93","11,616.18"
4/18/2019,"12,138.14","12,100.00","12,243.63","12,222.39","12,222.39","11,688.07","11,589.60"
4/17/2019,"12,100.44","12,086.89","12,195.00","12,153.07","12,153.07","11,688.55","11,565.60"
4/16/2019,"12,026.74","12,025.66","12,116.25","12,101.32","12,101.32","11,689.53","11,549.03"
4/15/2019,"12,011.11","11,983.33","12,029.98","12,020.28","12,020.28","11,690.21","11,534.36"
4/12/2019,"11,912.58","11,889.99","12,031.15","11,999.93","11,999.93","11,691.64","11,517.49"
4/11/2019,"11,914.51","11,846.60","11,963.43","11,935.20","11,935.20","11,692.53","11,501.10"
4/10/2019,"11,864.46","11,863.80","11,937.11","11,905.91","11,905.91","11,694.60","11,485.86"
4/9/2019,"11,927.01","11,850.57","11,988.53","11,850.57","11,850.57","11,696.24","11,471.38"
4/8/2019,"11,979.73","11,948.26","11,989.59","11,963.40","11,963.40","11,698.34","11,458.74"
4/5/2019,"11,993.22","11,967.70","12,024.23","12,009.75","12,009.75","11,701.42","11,443.68"
4/4/2019,"11,924.61","11,916.57","12,029.26","11,988.01","11,988.01","11,703.93","11,429.12"
4/3/2019,"11,855.40","11,854.21","11,961.36","11,954.40","11,954.40","11,707.47","11,411.96"
4/2/2019,"11,703.24","11,659.15","11,777.65","11,754.79","11,754.79","11,711.08","11,394.31"
4/1/2019,"11,617.18","11,612.70","11,706.64","11,681.99","11,681.99","11,716.50","11,381.01"
3/29/2019,"11,492.09","11,442.12","11,549.42","11,526.04","11,526.04","11,723.15","11,370.10"
3/28/2019,"11,422.16","11,414.66","11,494.15","11,428.16","11,428.16","11,731.05","11,363.69"
3/27/2019,"11,439.02","11,368.13","11,502.35","11,419.04","11,419.04","11,738.36","11,353.50"
3/26/2019,"11,374.18","11,299.80","11,447.13","11,419.48","11,419.48","11,745.48","11,343.74"
3/25/2019,"11,323.20","11,312.54","11,392.00","11,346.65","11,346.65","11,752.60","11,333.19"
3/22/2019,"11,578.39","11,356.49","11,623.97","11,364.17","11,364.17","11,759.70","11,323.37"
3/21/2019,"11,566.87","11,467.79","11,582.54","11,549.96","11,549.96","11,766.93","11,313.76"
3/20/2019,"11,704.44","11,596.20","11,721.41","11,603.89","11,603.89","11,773.33","11,301.20"
3/19/2019,"11,672.76","11,652.02","11,823.29","11,788.41","11,788.41","11,779.25","11,286.99"
3/18/2019,"11,685.54","11,635.88","11,712.36","11,657.06","11,657.06","11,784.16","11,267.30"
3/15/2019,"11,608.67","11,575.33","11,725.66","11,685.69","11,685.69","11,789.50","11,249.11"
3/14/2019,"11,573.42","11,541.10","11,635.76","11,587.47","11,587.47","11,794.09","11,230.75"
3/13/2019,"11,499.32","11,486.74","11,586.90","11,572.41","11,572.41","11,800.07","11,207.34"
3/12/2019,"11,612.46","11,499.47","11,618.73","11,524.17","11,524.17","11,805.54","11,187.49"
3/11/2019,"11,497.98","11,462.90","11,550.59","11,543.48","11,543.48","11,812.24","11,168.19"
3/8/2019,"11,429.77","11,405.21","11,475.55","11,457.84","11,457.84","11,819.21","11,144.95"
3/7/2019,"11,546.42","11,452.86","11,612.95","11,517.80","11,517.80","11,826.20","11,128.47"
3/6/2019,"11,593.21","11,565.22","11,652.77","11,587.63","11,587.63","11,833.50","11,110.33"
3/5/2019,"11,570.97","11,551.45","11,627.78","11,620.74","11,620.74","11,841.41","11,093.90"
3/4/2019,"11,646.21","11,591.74","11,650.44","11,592.66","11,592.66","11,848.69","11,076.31"
3/1/2019,"11,584.24","11,583.08","11,676.86","11,601.68","11,601.68","11,856.30","11,059.90"
2/28/2019,"11,430.80","11,416.08","11,524.99","11,515.64","11,515.64","11,863.27","11,045.18"
2/27/2019,"11,493.81","11,442.97","11,521.22","11,487.33","11,487.33","11,870.55","11,033.36"
2/26/2019,"11,446.29","11,441.87","11,556.87","11,540.79","11,540.79","11,878.00","11,022.20"
2/25/2019,"11,517.76","11,480.49","11,544.31","11,505.39","11,505.39","11,885.30","11,007.00"
2/22/2019,"11,422.62","11,420.74","11,504.71","11,457.70","11,457.70","11,892.89","10,989.33"
2/21/2019,"11,448.65","11,392.27","11,454.44","11,423.28","11,423.28","11,900.31","10,975.94"
2/20/2019,"11,338.74","11,318.74","11,437.47","11,401.97","11,401.97","11,907.58","10,963.69"
2/19/2019,"11,280.73","11,244.52","11,371.44","11,309.21","11,309.21","11,915.31","10,959.66"
2/18/2019,"11,287.74","11,256.27","11,318.19","11,299.20","11,299.20","11,922.87","10,960.18"
2/15/2019,"11,044.80","11,018.95","11,323.05","11,299.80","11,299.80","11,929.82","10,963.51"
2/14/2019,"11,257.80","11,077.78","11,260.55","11,089.79","11,089.79","11,937.33","10,962.65"
2/13/2019,"11,174.85","11,125.59","11,217.30","11,167.22","11,167.22","11,944.95","10,966.82"
2/12/2019,"11,123.43","11,116.86","11,164.38","11,126.08","11,126.08","11,952.01","10,969.46"
2/11/2019,"10,955.83","10,944.58","11,041.95","11,014.59","11,014.59","11,958.89","10,973.12"
2/8/2019,"10,991.79","10,863.56","11,045.41","10,906.78","10,906.78","11,965.92","10,979.92"
2/7/2019,"11,262.97","11,022.02","11,286.46","11,022.02","11,022.02","11,974.14","10,985.64"
2/6/2019,"11,337.54","11,297.42","11,347.94","11,324.72","11,324.72","11,981.90","10,987.97"
2/5/2019,"11,178.75","11,177.70","11,371.74","11,367.98","11,367.98","11,987.97","10,986.36"
2/4/2019,"11,180.42","11,100.34","11,209.31","11,176.58","11,176.58","11,993.97","10,980.33"
2/1/2019,"11,198.46","11,116.08","11,218.51","11,180.66","11,180.66","12,001.04","10,981.68"
1/31/2019,"11,257.92","11,051.11","11,311.37","11,173.10","11,173.10","12,008.07","10,984.89"
1/30/2019,"11,210.68","11,132.38","11,215.21","11,181.66","11,181.66","12,014.16","10,988.50"
1/29/2019,"11,191.52","11,159.17","11,276.28","11,218.83","11,218.83","12,020.46","10,993.12"
1/28/2019,"11,233.16","11,196.42","11,275.21","11,210.31","11,210.31","12,026.44","10,998.19"
1/25/2019,"11,234.05","11,218.35","11,321.62","11,281.79","11,281.79","12,031.86","11,000.49"
1/24/2019,"11,045.64","11,032.53","11,149.32","11,130.18","11,130.18","12,037.44","11,005.44"
1/23/2019,"11,043.64","11,007.21","11,135.75","11,071.54","11,071.54","12,043.10","11,013.38"
1/22/2019,"11,076.98","11,034.55","11,142.22","11,090.11","11,090.11","12,048.95","11,023.53"
1/21/2019,"11,176.12","11,125.53","11,179.91","11,136.20","11,136.20","12,055.02","11,031.42"
1/18/2019,"11,001.31","10,993.83","11,216.82","11,205.54","11,205.54","12,059.13","11,038.59"
1/17/2019,"10,852.50","10,822.25","10,929.30","10,918.62","10,918.62","12,063.11","11,044.86"
1/16/2019,"10,940.36","10,866.39","10,947.87","10,931.24","10,931.24","12,069.01","11,055.86"
1/15/2019,"10,962.95","10,812.59","10,994.83","10,891.79","10,891.79","12,074.05","11,066.18"
1/14/2019,"10,820.85","10,786.75","10,886.23","10,855.91","10,855.91","12,079.45","11,074.10"
1/11/2019,"10,949.13","10,829.92","10,959.00","10,883.77","10,883.77","12,084.10","11,083.69"
1/10/2019,"10,843.89","10,788.05","10,927.13","10,921.59","10,921.59","12,089.12","11,090.02"
1/9/2019,"10,884.75","10,839.09","10,961.92","10,893.32","10,893.32","12,095.01","11,097.74"
1/8/2019,"10,750.19","10,745.03","10,910.71","10,803.98","10,803.98","12,102.09","11,103.70"
1/7/2019,"10,814.39","10,681.27","10,814.47","10,747.81","10,747.81","12,109.61","11,113.11"
1/4/2019,"10,533.94","10,483.90","10,786.34","10,767.69","10,767.69","12,116.95","11,128.64"
1/3/2019,"10,467.11","10,400.11","10,538.66","10,416.66","10,416.66","12,125.06","11,144.36"
1/2/2019,"10,477.77","10,386.97","10,612.72","10,580.19","10,580.19","12,134.71","11,167.81"
12/28/2018,"10,452.02","10,431.38","10,586.80","10,558.96","10,558.96","12,142.99","11,190.51"
12/27/2018,"10,607.42","10,279.20","10,635.45","10,381.51","10,381.51","12,151.30","11,214.86"
12/21/2018,"10,573.08","10,512.64","10,654.66","10,633.82","10,633.82","12,161.49","11,239.51"
12/20/2018,"10,621.18","10,563.44","10,686.37","10,611.10","10,611.10","12,170.05","11,257.31"
12/19/2018,"10,777.42","10,749.55","10,831.44","10,766.21","10,766.21","12,178.78","11,275.88"
