 Date,SPX Open,SPX Low,SPX High,SPX Close,SPX Adj. Close
5/26/2015,"2,125.34","2,099.18","2,125.34","2,104.20","2,104.20"
5/22/2015,"2,130.36","2,126.06","2,132.15","2,126.06","2,126.06"
5/21/2015,"2,125.55","2,122.95","2,134.28","2,130.82","2,130.82"
5/20/2015,"2,127.79","2,122.59","2,134.72","2,125.85","2,125.85"
5/19/2015,"2,129.45","2,124.50","2,133.02","2,127.83","2,127.83"
5/18/2015,"2,121.30","2,120.01","2,131.78","2,129.20","2,129.20"
5/15/2015,"2,122.07","2,116.79","2,123.89","2,122.73","2,122.73"
5/14/2015,"2,100.43","2,100.43","2,121.45","2,121.10","2,121.10"
5/13/2015,"2,099.62","2,096.04","2,110.19","2,098.48","2,098.48"
5/12/2015,"2,102.87","2,085.57","2,105.06","2,099.12","2,099.12"
5/11/2015,"2,115.56","2,104.58","2,117.69","2,105.33","2,105.33"
5/8/2015,"2,092.13","2,092.13","2,117.66","2,116.10","2,116.10"
5/7/2015,"2,079.96","2,074.99","2,092.90","2,088.00","2,088.00"
5/6/2015,"2,091.26","2,067.93","2,098.42","2,080.15","2,080.15"
5/5/2015,"2,112.63","2,088.46","2,115.24","2,089.46","2,089.46"
5/4/2015,"2,110.23","2,110.23","2,120.95","2,114.49","2,114.49"
5/1/2015,"2,087.38","2,087.38","2,108.41","2,108.29","2,108.29"
4/30/2015,"2,105.52","2,077.59","2,105.52","2,085.51","2,085.51"
4/29/2015,"2,112.49","2,097.41","2,113.65","2,106.85","2,106.85"
4/28/2015,"2,108.35","2,094.89","2,116.09","2,114.76","2,114.76"
4/27/2015,"2,119.29","2,107.04","2,125.92","2,108.92","2,108.92"
4/24/2015,"2,112.80","2,112.80","2,120.92","2,117.69","2,117.69"
4/23/2015,"2,107.21","2,103.19","2,120.49","2,112.93","2,112.93"
4/22/2015,"2,098.27","2,091.05","2,109.98","2,107.96","2,107.96"
4/21/2015,"2,102.82","2,094.38","2,109.64","2,097.29","2,097.29"
4/20/2015,"2,084.11","2,084.11","2,103.94","2,100.40","2,100.40"
4/17/2015,"2,102.58","2,072.37","2,102.58","2,081.18","2,081.18"
4/16/2015,"2,105.96","2,100.02","2,111.30","2,104.99","2,104.99"
4/15/2015,"2,097.82","2,097.82","2,111.91","2,106.63","2,106.63"
4/14/2015,"2,092.28","2,083.24","2,098.62","2,095.84","2,095.84"
4/13/2015,"2,102.03","2,092.33","2,107.65","2,092.43","2,092.43"
4/10/2015,"2,091.51","2,091.51","2,102.61","2,102.06","2,102.06"
4/9/2015,"2,081.29","2,074.29","2,093.31","2,091.18","2,091.18"
4/8/2015,"2,076.94","2,073.30","2,086.69","2,081.90","2,081.90"
4/7/2015,"2,080.79","2,076.10","2,089.81","2,076.33","2,076.33"
4/6/2015,"2,064.87","2,056.52","2,086.99","2,080.62","2,080.62"
4/2/2015,"2,060.03","2,057.32","2,072.17","2,066.96","2,066.96"
4/1/2015,"2,067.63","2,048.38","2,067.63","2,059.69","2,059.69"
3/31/2015,"2,084.05","2,067.04","2,084.05","2,067.89","2,067.89"
3/30/2015,"2,064.11","2,064.11","2,088.97","2,086.24","2,086.24"
3/27/2015,"2,055.78","2,052.96","2,062.83","2,061.02","2,061.02"
3/26/2015,"2,059.94","2,045.50","2,067.15","2,056.15","2,056.15"
3/25/2015,"2,093.10","2,061.05","2,097.43","2,061.05","2,061.05"
3/24/2015,"2,103.94","2,091.50","2,107.63","2,091.50","2,091.50"
3/23/2015,"2,107.99","2,104.42","2,114.86","2,104.42","2,104.42"
3/20/2015,"2,090.32","2,090.32","2,113.92","2,108.10","2,108.10"
3/19/2015,"2,098.69","2,085.56","2,098.69","2,089.27","2,089.27"
3/18/2015,"2,072.84","2,061.23","2,106.85","2,099.50","2,099.50"
3/17/2015,"2,080.59","2,065.08","2,080.59","2,074.28","2,074.28"
3/16/2015,"2,055.35","2,055.35","2,081.41","2,081.19","2,081.19"
3/13/2015,"2,064.56","2,041.17","2,064.56","2,053.40","2,053.40"
3/12/2015,"2,041.10","2,041.10","2,066.41","2,065.95","2,065.95"
3/11/2015,"2,044.69","2,039.69","2,050.08","2,040.24","2,040.24"
3/10/2015,"2,076.14","2,044.16","2,076.14","2,044.16","2,044.16"
3/9/2015,"2,072.25","2,072.21","2,083.49","2,079.43","2,079.43"
3/6/2015,"2,100.91","2,067.27","2,100.91","2,071.26","2,071.26"
3/5/2015,"2,098.54","2,095.22","2,104.25","2,101.04","2,101.04"
3/4/2015,"2,107.72","2,087.62","2,107.72","2,098.53","2,098.53"
3/3/2015,"2,115.76","2,098.26","2,115.76","2,107.78","2,107.78"
3/2/2015,"2,105.23","2,104.50","2,117.52","2,117.39","2,117.39"
2/27/2015,"2,110.88","2,103.75","2,112.74","2,104.50","2,104.50"
2/26/2015,"2,113.91","2,103.76","2,113.91","2,110.74","2,110.74"
2/25/2015,"2,115.30","2,109.89","2,119.59","2,113.86","2,113.86"
2/24/2015,"2,109.10","2,105.87","2,117.94","2,115.48","2,115.48"
2/23/2015,"2,109.83","2,103.00","2,110.05","2,109.66","2,109.66"
2/20/2015,"2,097.65","2,085.44","2,110.61","2,110.30","2,110.30"
2/19/2015,"2,099.25","2,090.79","2,102.13","2,097.45","2,097.45"
2/18/2015,"2,099.16","2,092.15","2,100.23","2,099.68","2,099.68"
2/17/2015,"2,096.47","2,089.80","2,101.30","2,100.34","2,100.34"
2/13/2015,"2,088.78","2,086.70","2,097.03","2,096.99","2,096.99"
2/12/2015,"2,069.98","2,069.98","2,088.53","2,088.48","2,088.48"
