 Date,INDU_EC Open,INDU_EC Low,INDU_EC High,INDU_EC Close,INDU_EC Adj. Close
4/16/2007,"12,611.64","12,611.31","12,731.18","12,720.46","12,720.46"
4/13/2007,"12,551.91","12,530.21","12,615.38","12,612.13","12,612.13"
4/12/2007,"12,483.64","12,428.22","12,557.35","12,552.96","12,552.96"
4/11/2007,"12,573.12","12,455.85","12,580.03","12,484.62","12,484.62"
4/10/2007,"12,568.49","12,549.47","12,588.56","12,573.85","12,573.85"
4/9/2007,"12,562.64","12,555.32","12,593.60","12,569.14","12,569.14"
4/6/2007,"12,560.20","12,560.20","12,560.20","12,560.20","12,560.20"
4/5/2007,"12,523.22","12,500.39","12,572.47","12,560.20","12,560.20"
4/4/2007,"12,511.36","12,495.75","12,541.51","12,530.05","12,530.05"
4/3/2007,"12,379.05","12,379.05","12,534.27","12,510.30","12,510.30"
4/2/2007,"12,354.52","12,324.28","12,394.98","12,382.30","12,382.30"
3/30/2007,"12,348.91","12,242.60","12,416.68","12,354.35","12,354.35"
3/29/2007,"12,301.48","12,267.59","12,381.91","12,348.75","12,348.75"
3/28/2007,"12,396.49","12,257.42","12,396.49","12,300.36","12,300.36"
3/27/2007,"12,468.59","12,377.27","12,468.67","12,397.29","12,397.29"
3/26/2007,"12,480.37","12,367.17","12,486.78","12,469.07","12,469.07"
3/23/2007,"12,460.50","12,448.65","12,511.05","12,481.01","12,481.01"
3/22/2007,"12,446.72","12,408.51","12,476.28","12,461.14","12,461.14"
3/21/2007,"12,288.98","12,263.51","12,480.45","12,447.52","12,447.52"
3/20/2007,"12,226.81","12,213.11","12,294.03","12,288.10","12,288.10"
3/19/2007,"12,110.41","12,110.41","12,234.67","12,226.17","12,226.17"
3/16/2007,"12,160.16","12,082.13","12,190.36","12,110.41","12,110.41"
3/15/2007,"12,133.16","12,105.92","12,188.12","12,159.68","12,159.68"
3/14/2007,"12,074.52","11,939.61","12,142.94","12,133.40","12,133.40"
3/13/2007,"12,307.49","12,071.48","12,307.57","12,075.96","12,075.96"
3/12/2007,"12,275.68","12,246.52","12,349.95","12,318.62","12,318.62"
3/9/2007,"12,262.06","12,228.50","12,330.88","12,276.32","12,276.32"
3/8/2007,"12,193.33","12,193.33","12,303.64","12,260.70","12,260.70"
3/7/2007,"12,204.46","12,178.99","12,256.94","12,192.45","12,192.45"
3/6/2007,"12,051.17","12,050.61","12,224.41","12,207.59","12,207.59"
3/5/2007,"12,111.61","12,039.11","12,188.84","12,050.41","12,050.41"
3/2/2007,"12,233.78","12,107.37","12,247.40","12,114.10","12,114.10"
3/1/2007,"12,265.59","12,059.54","12,289.22","12,234.34","12,234.34"
2/28/2007,"12,214.92","12,186.04","12,353.47","12,268.63","12,268.63"
2/27/2007,"12,628.90","12,086.06","12,629.38","12,216.24","12,216.24"
2/26/2007,"12,647.88","12,608.47","12,697.23","12,632.26","12,632.26"
2/23/2007,"12,679.89","12,628.02","12,682.13","12,647.48","12,647.48"
2/22/2007,"12,735.77","12,650.61","12,763.73","12,686.02","12,686.02"
2/21/2007,"12,782.87","12,707.17","12,782.87","12,738.41","12,738.41"
2/20/2007,"12,766.85","12,704.68","12,795.93","12,786.64","12,786.64"
2/19/2007,"12,767.57","12,767.57","12,767.57","12,767.57","12,767.57"
2/16/2007,"12,764.13","12,744.02","12,769.17","12,767.57","12,767.57"
2/15/2007,"12,741.70","12,728.72","12,779.03","12,765.01","12,765.01"
2/14/2007,"12,651.29","12,651.21","12,759.40","12,741.86","12,741.86"
2/13/2007,"12,549.19","12,549.19","12,658.22","12,654.85","12,654.85"
2/12/2007,"12,580.11","12,536.21","12,607.51","12,552.55","12,552.55"
2/9/2007,"12,638.03","12,545.10","12,675.68","12,580.83","12,580.83"
2/8/2007,"12,665.67","12,575.86","12,665.83","12,637.63","12,637.63"
2/7/2007,"12,656.86","12,630.50","12,700.28","12,666.87","12,666.87"
2/6/2007,"12,661.66","12,633.94","12,680.57","12,666.31","12,666.31"
2/5/2007,"12,653.41","12,629.86","12,681.21","12,661.74","12,661.74"
2/2/2007,"12,673.84","12,638.35","12,683.93","12,653.49","12,653.49"
2/1/2007,"12,617.20","12,616.08","12,682.57","12,673.68","12,673.68"
1/31/2007,"12,520.03","12,505.20","12,657.02","12,621.69","12,621.69"
1/30/2007,"12,492.23","12,459.46","12,538.45","12,523.31","12,523.31"
1/29/2007,"12,487.10","12,481.49","12,542.70","12,490.78","12,490.78"
1/26/2007,"12,503.28","12,431.34","12,539.09","12,487.02","12,487.02"
1/25/2007,"12,621.77","12,487.34","12,622.65","12,502.56","12,502.56"
1/24/2007,"12,534.37","12,531.08","12,623.45","12,621.77","12,621.77"
1/23/2007,"12,477.81","12,468.35","12,554.23","12,533.80","12,533.80"
1/22/2007,"12,566.33","12,450.89","12,572.58","12,477.16","12,477.16"
1/19/2007,"12,567.93","12,523.55","12,586.84","12,565.53","12,565.53"
1/18/2007,"12,575.06","12,547.34","12,611.91","12,567.93","12,567.93"
1/17/2007,"12,571.46","12,550.55","12,614.00","12,577.15","12,577.15"
1/16/2007,"12,555.84","12,538.93","12,585.08","12,582.59","12,582.59"
1/15/2007,"12,556.08","12,556.08","12,556.08","12,556.08","12,556.08"
1/12/2007,"12,514.66","12,489.66","12,561.04","12,556.08","12,556.08"
1/11/2007,"12,442.96","12,442.96","12,544.46","12,514.98","12,514.98"
1/10/2007,"12,417.00","12,355.63","12,451.61","12,442.16","12,442.16"
1/9/2007,"12,424.77","12,369.17","12,466.43","12,416.60","12,416.60"
1/8/2007,"12,392.01","12,337.37","12,445.92","12,423.49","12,423.49"
1/5/2007,"12,480.05","12,365.41","12,480.13","12,398.01","12,398.01"
1/4/2007,"12,473.16","12,403.86","12,510.41","12,480.69","12,480.69"
1/3/2007,"12,459.54","12,404.82","12,580.35","12,474.52","12,474.52"
1/2/2007,"12,463.15","12,463.15","12,463.15","12,463.15","12,463.15"
1/1/2007,"12,463.15","12,463.15","12,463.15","12,463.15","12,463.15"
12/29/2006,"12,500.48","12,451.13","12,526.03","12,463.15","12,463.15"
12/28/2006,"12,510.57","12,478.13","12,529.88","12,501.52","12,501.52"
12/27/2006,"12,408.43","12,407.79","12,519.22","12,510.57","12,510.57"
12/26/2006,"12,341.94","12,337.05","12,418.20","12,407.63","12,407.63"
12/25/2006,"12,343.22","12,343.22","12,343.22","12,343.22","12,343.22"
12/22/2006,"12,413.08","12,341.70","12,420.21","12,343.22","12,343.22"
12/21/2006,"12,461.62","12,396.01","12,483.73","12,421.25","12,421.25"
12/20/2006,"12,471.32","12,456.58","12,498.47","12,463.87","12,463.87"
12/19/2006,"12,439.51","12,397.61","12,491.91","12,471.32","12,471.32"
12/18/2006,"12,446.24","12,428.94","12,490.70","12,441.27","12,441.27"
12/15/2006,"12,417.96","12,417.88","12,486.30","12,445.52","12,445.52"
12/14/2006,"12,317.50","12,307.01","12,431.26","12,416.76","12,416.76"
12/13/2006,"12,312.71","12,301.56","12,368.61","12,317.50","12,317.50"
12/12/2006,"12,328.24","12,252.05","12,333.92","12,315.58","12,315.58"
12/11/2006,"12,306.21","12,297.63","12,354.59","12,328.48","12,328.48"
12/8/2006,"12,278.41","12,243.08","12,332.88","12,307.49","12,307.49"
12/7/2006,"12,310.13","12,264.47","12,360.76","12,278.41","12,278.41"
12/6/2006,"12,328.72","12,294.83","12,335.45","12,309.25","12,309.25"
12/5/2006,"12,283.69","12,276.08","12,335.37","12,331.60","12,331.60"
12/4/2006,"12,195.57","12,195.57","12,309.97","12,283.85","12,283.85"
12/1/2006,"12,220.97","12,089.98","12,248.04","12,194.13","12,194.13"
11/30/2006,"12,226.73","12,162.48","12,275.12","12,221.93","12,221.93"
11/29/2006,"12,134.40","12,134.40","12,240.67","12,226.73","12,226.73"
11/28/2006,"12,118.94","12,072.60","12,149.19","12,136.45","12,136.45"
11/27/2006,"12,279.13","12,110.81","12,279.53","12,121.71","12,121.71"
11/24/2006,"12,321.71","12,258.86","12,324.11","12,280.17","12,280.17"
11/23/2006,"12,326.95","12,326.95","12,326.95","12,326.95","12,326.95"
11/22/2006,"12,321.91","12,302.76","12,361.00","12,326.95","12,326.95"
11/21/2006,"12,312.13","12,296.03","12,339.85","12,321.59","12,321.59"
11/20/2006,"12,340.71","12,302.52","12,355.23","12,316.54","12,316.54"
11/17/2006,"12,304.62","12,277.40","12,342.56","12,342.56","12,342.56"
11/16/2006,"12,250.05","12,250.05","12,325.91","12,305.82","12,305.82"
11/15/2006,"12,214.37","12,205.76","12,291.73","12,251.71","12,251.71"
11/14/2006,"12,132.44","12,084.97","12,228.01","12,218.01","12,218.01"
11/13/2006,"12,097.70","12,084.81","12,164.70","12,131.88","12,131.88"
11/10/2006,"12,102.74","12,074.01","12,127.08","12,108.43","12,108.43"
11/9/2006,"12,174.70","12,090.10","12,187.03","12,103.30","12,103.30"
11/8/2006,"12,147.38","12,102.90","12,193.75","12,176.54","12,176.54"
11/7/2006,"12,104.75","12,101.06","12,196.32","12,156.77","12,156.77"
11/6/2006,"11,985.16","11,984.76","12,117.71","12,105.55","12,105.55"
11/3/2006,"12,018.30","11,965.31","12,061.52","11,986.04","11,986.04"
11/2/2006,"12,023.98","11,979.00","12,032.55","12,018.54","12,018.54"
11/1/2006,"12,080.25","12,007.17","12,123.96","12,031.02","12,031.02"
10/31/2006,"12,086.18","12,025.34","12,113.39","12,080.73","12,080.73"
10/30/2006,"12,089.14","12,049.92","12,117.23","12,086.50","12,086.50"
10/27/2006,"12,164.78","12,073.53","12,164.86","12,090.26","12,090.26"
10/26/2006,"12,134.84","12,096.10","12,167.02","12,163.66","12,163.66"
