 Date,GBPUSD Open,GBPUSD Low,GBPUSD High,GBPUSD Close,GBPUSD Adj. Close
10/19/2018,1.3018,1.3012,1.3097,1.3071,1.3071
10/18/2018,1.3115,1.3017,1.3131,1.3018,1.3018
10/17/2018,1.3186,1.3101,1.3193,1.3116,1.3116
10/16/2018,1.3154,1.3142,1.3235,1.3184,1.3184
10/15/2018,1.3088,1.3088,1.3178,1.3153,1.3153
10/12/2018,1.323,1.315,1.3257,1.3153,1.3153
10/11/2018,1.3197,1.3181,1.3245,1.3228,1.3228
10/10/2018,1.3136,1.3136,1.3216,1.3193,1.3193
10/9/2018,1.3087,1.3034,1.3149,1.3144,1.3144
10/8/2018,1.3121,1.3029,1.3132,1.309,1.309
10/5/2018,1.303,1.3004,1.312,1.3109,1.3109
10/4/2018,1.2941,1.2923,1.3035,1.3021,1.3021
10/3/2018,1.298,1.2931,1.3019,1.2943,1.2943
10/2/2018,1.3046,1.2942,1.3048,1.2979,1.2979
10/1/2018,1.3041,1.3014,1.3096,1.3042,1.3042
9/28/2018,1.3079,1.3003,1.309,1.3031,1.3031
9/27/2018,1.3167,1.3076,1.3178,1.3078,1.3078
9/26/2018,1.3184,1.3139,1.3216,1.3167,1.3167
9/25/2018,1.3119,1.3095,1.3194,1.3185,1.3185
9/24/2018,1.3079,1.3063,1.3166,1.3119,1.3119
9/21/2018,1.3263,1.3058,1.3276,1.3083,1.3083
9/20/2018,1.3141,1.3136,1.3298,1.327,1.327
9/19/2018,1.3147,1.3115,1.3212,1.3144,1.3144
9/18/2018,1.3151,1.3121,1.3169,1.3149,1.3149
9/17/2018,1.307,1.307,1.3165,1.3154,1.3154
9/14/2018,1.3109,1.3057,1.3138,1.3071,1.3071
9/13/2018,1.3043,1.3027,1.312,1.3106,1.3106
9/12/2018,1.3035,1.2981,1.3078,1.3043,1.3043
9/11/2018,1.3025,1.2974,1.3084,1.3032,1.3032
9/10/2018,1.2925,1.2897,1.3046,1.3027,1.3027
9/7/2018,1.2926,1.2911,1.3028,1.2919,1.2919
9/6/2018,1.2906,1.2899,1.2959,1.293,1.293
9/5/2018,1.2854,1.2793,1.2978,1.2906,1.2906
9/4/2018,1.2862,1.2812,1.2874,1.2855,1.2855
9/3/2018,1.2917,1.2856,1.2933,1.2869,1.2869
8/31/2018,1.3012,1.2948,1.3028,1.2959,1.2959
8/30/2018,1.3026,1.2987,1.3042,1.3011,1.3011
8/29/2018,1.2869,1.2847,1.3032,1.3026,1.3026
8/28/2018,1.2894,1.2863,1.2931,1.2875,1.2875
8/27/2018,1.2843,1.2832,1.2901,1.2892,1.2892
8/24/2018,1.2811,1.28,1.2878,1.2849,1.2849
8/23/2018,1.2911,1.2805,1.2918,1.2816,1.2816
8/22/2018,1.2893,1.2871,1.2934,1.2914,1.2914
8/21/2018,1.2797,1.2794,1.2925,1.2898,1.2898
8/20/2018,1.2742,1.2731,1.2799,1.2796,1.2796
8/17/2018,1.2709,1.2699,1.2751,1.2751,1.2751
8/16/2018,1.2698,1.2688,1.2752,1.2719,1.2719
8/15/2018,1.2724,1.2666,1.2731,1.2697,1.2697
8/14/2018,1.2771,1.2705,1.2817,1.2718,1.2718
8/13/2018,1.275,1.2731,1.2791,1.2768,1.2768
8/10/2018,1.2824,1.2725,1.2837,1.277,1.277
8/9/2018,1.2882,1.2821,1.291,1.2824,1.2824
8/8/2018,1.2941,1.2855,1.296,1.2882,1.2882
8/7/2018,1.2944,1.2925,1.2974,1.2939,1.2939
8/6/2018,1.3011,1.292,1.3011,1.2944,1.2944
8/3/2018,1.3016,1.2977,1.3041,1.3002,1.3002
8/2/2018,1.3127,1.3015,1.3128,1.3016,1.3016
8/1/2018,1.3122,1.3097,1.3144,1.3126,1.3126
7/31/2018,1.3136,1.3098,1.3173,1.3126,1.3126
7/30/2018,1.311,1.3098,1.3151,1.3133,1.3133
7/27/2018,1.3109,1.3084,1.313,1.3106,1.3106
7/26/2018,1.319,1.3107,1.3213,1.311,1.311
7/25/2018,1.3142,1.3135,1.3201,1.3191,1.3191
7/24/2018,1.3098,1.3074,1.3156,1.3145,1.3145
7/23/2018,1.3124,1.3091,1.3157,1.3102,1.3102
7/20/2018,1.3015,1.2997,1.3138,1.3137,1.3137
7/19/2018,1.307,1.2959,1.3083,1.3015,1.3015
7/18/2018,1.312,1.3011,1.312,1.3069,1.3069
7/17/2018,1.3235,1.3078,1.3268,1.3115,1.3115
7/16/2018,1.3231,1.3219,1.3292,1.3235,1.3235
7/13/2018,1.3207,1.3106,1.3236,1.3235,1.3235
7/12/2018,1.3206,1.3183,1.3241,1.3206,1.3206
7/11/2018,1.3279,1.3201,1.3285,1.3206,1.3206
7/10/2018,1.326,1.3224,1.3295,1.3279,1.3279
7/9/2018,1.3317,1.3193,1.3362,1.3259,1.3259
7/6/2018,1.3217,1.3205,1.3289,1.3283,1.3283
7/5/2018,1.3233,1.3205,1.3273,1.3221,1.3221
7/4/2018,1.3192,1.3173,1.3249,1.3229,1.3229
7/3/2018,1.3143,1.3116,1.3205,1.3194,1.3194
7/2/2018,1.3196,1.3096,1.3209,1.3142,1.3142
6/29/2018,1.3078,1.307,1.3213,1.321,1.321
6/28/2018,1.3115,1.3051,1.3121,1.3078,1.3078
6/27/2018,1.3224,1.3108,1.3233,1.3116,1.3116
6/26/2018,1.3281,1.3195,1.3292,1.3232,1.3232
6/25/2018,1.3269,1.3223,1.3289,1.3281,1.3281
6/22/2018,1.3242,1.324,1.3314,1.3262,1.3262
6/21/2018,1.3176,1.3103,1.3269,1.3242,1.3242
6/20/2018,1.3179,1.3149,1.3214,1.3172,1.3172
6/19/2018,1.3243,1.3151,1.3272,1.3174,1.3174
6/18/2018,1.327,1.3228,1.3281,1.3246,1.3246
6/15/2018,1.3263,1.3213,1.3297,1.3282,1.3282
6/14/2018,1.3371,1.3259,1.3445,1.3262,1.3262
6/13/2018,1.3372,1.3312,1.3388,1.3375,1.3375
6/12/2018,1.3381,1.3344,1.3424,1.3372,1.3372
6/11/2018,1.3413,1.3347,1.3439,1.3375,1.3375
6/8/2018,1.3422,1.3359,1.3437,1.3407,1.3407
6/7/2018,1.3411,1.3377,1.3471,1.3422,1.3422
6/6/2018,1.339,1.3386,1.3442,1.3413,1.3413
6/5/2018,1.3315,1.3302,1.3409,1.3396,1.3396
6/4/2018,1.3348,1.3296,1.3398,1.3312,1.3312
6/1/2018,1.3297,1.3257,1.3361,1.3348,1.3348
5/31/2018,1.3295,1.3278,1.3347,1.3298,1.3298
5/30/2018,1.3254,1.3242,1.3307,1.3281,1.3281
5/29/2018,1.331,1.3207,1.3324,1.3244,1.3244
5/28/2018,1.3314,1.3297,1.3339,1.3311,1.3311
5/25/2018,1.3375,1.3306,1.3388,1.331,1.331
5/24/2018,1.3347,1.3347,1.3421,1.3381,1.3381
5/23/2018,1.3435,1.3306,1.3442,1.335,1.335
5/22/2018,1.3427,1.3414,1.3489,1.3433,1.3433
5/21/2018,1.3463,1.3393,1.3483,1.3428,1.3428
5/18/2018,1.3516,1.3456,1.3527,1.3482,1.3482
5/17/2018,1.3484,1.3476,1.3568,1.3515,1.3515
5/16/2018,1.3507,1.3456,1.352,1.3491,1.3491
5/15/2018,1.3556,1.3452,1.3572,1.3501,1.3501
5/14/2018,1.3552,1.3542,1.3607,1.3555,1.3555
5/11/2018,1.352,1.3503,1.3595,1.3542,1.3542
5/10/2018,1.3547,1.3463,1.3617,1.3517,1.3517
5/9/2018,1.3548,1.3501,1.3605,1.3548,1.3548
5/8/2018,1.3557,1.3485,1.3591,1.3547,1.3547
5/7/2018,1.3535,1.3518,1.3575,1.3556,1.3556
5/4/2018,1.3575,1.3491,1.3586,1.3536,1.3536
5/3/2018,1.3577,1.3541,1.363,1.3575,1.3575
5/2/2018,1.3615,1.3556,1.3664,1.3576,1.3576
5/1/2018,1.3763,1.359,1.3773,1.3615,1.3615
4/30/2018,1.3773,1.3714,1.3792,1.376,1.376
4/27/2018,1.3915,1.375,1.3934,1.3779,1.3779
4/26/2018,1.3929,1.3897,1.3996,1.3919,1.3919
